gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,100,Blue,Team,Team,Cloud9, ,Vel'koz,Shen,Akali,Irelia,Braum,30.18333333,1,13,6,30,13,6, , , , ,1,1,0,11.76363333,0.43070127,0.1987852015,0.6294864716,0,10.68968333,1,2,1,2,1,0,0,0,0,0,1,11.5363,1,11.44318333,1,1,10,1,1,26.67303333,1,0,51830,1717.172833, , ,94,3.114301491,1,40,1.325234677,41,45,0.7647058824,0.25,61161,1368.662617,52858,0.1457988694,932,229,128,33,38.4649365,15167,14495,672,25290,22218,3072,19446,18774,672,352,306,46,574,509,65
2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.11483,PI,1,8.19,200,Red,Team,Team,KaBuM e-Sports, ,Camille,Alistar,Kindred,Galio,Thresh,30.18333333,0,6,13,11,6,13, , , , ,0,0,1,11.76363333,0.1987852015,0.43070127,0.6294864716,1,10.68968333,2,1,2,1,0,0,2,0,0,0,0,11.5363,0,11.44318333,0,0,1,10,0,26.67303333,0,1,41504,1375.063501, , ,90,2.981778023,1,33,1.093318609,32,43,0.4772727273,0.24,47104,902.942021,45675,-0.1457988694,835,158,127,2,32.89895086,14495,15167,-672,22218,25290,-3072,18774,19446,-672,306,352,-46,509,574,-65
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,1,Blue,Top,PVPStejos,Gambit Esports,Ornn,Varus,Olaf,Aatrox,Ashe,Sivir,36.21666667,0,1,3,4,9,19,0,0,0,0,0,0,0,9.33835,0.02761159687,0.08283479061,0.7731247124,0,11.5495,2,1,0,0,0,0,0,0,0,0,0,,0,17.00566667,0,0,0,9,0,27.8272,0,1,10081,278.3525081,0.1541555165,0.183733409,14,0.3865623562,0.1076923077,4,0.1104463875,3,4, , ,10146,150.1375058,9200,-0.3367231638,230,0,0,0,6.35066728,3091,3253,-162,4789,5023,-234,4493,4912,-419,76,86,-10,129,139,-10
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,2,Blue,Jungle,Diamondprox,Gambit Esports,Gragas,Varus,Olaf,Aatrox,Ashe,Sivir,36.21666667,0,1,4,3,9,19,0,0,0,0,0,0,1,9.33835,0.02761159687,0.1380579844,0.7731247124,1,11.5495,2,1,1,1,1,0,0,0,0,0,0,,0,17.00566667,0,0,0,9,0,27.8272,0,1,5664,156.3920847,0.08661212631,0.16477712,17,0.4693971468,0.1307692308,11,0.3037275656,14,17, , ,9585,134.6473999,9575,-0.2081871345,22,138,100,0,4.417855499,2962,3178,-216,4421,4957,-536,3198,3342,-144,54,57,-3,87,90,-3
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,3,Blue,Middle,Kira,Gambit Esports,Malzahar,Varus,Olaf,Aatrox,Ashe,Sivir,36.21666667,0,3,3,3,9,19,1,0,0,0,0,0,0,9.33835,0.08283479061,0.1104463875,0.7731247124,0,11.5495,2,1,0,0,0,0,0,0,0,0,0,,0,17.00566667,0,0,0,9,0,27.8272,0,1,21754,600.6626783,0.3326554018,0.2720609304,24,0.6626783249,0.1846153846,7,0.1932811781,11,13, , ,12760,222.31422,12525,0.001998001998,280,20,13,0,8.283479061,3076,3571,-495,4802,5647,-845,4412,5045,-633,75,95,-20,126,153,-27
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,4,Blue,ADC,Lodik,Gambit Esports,Tristana,Varus,Olaf,Aatrox,Ashe,Sivir,36.21666667,0,4,2,4,9,19,0,0,0,0,0,0,0,9.33835,0.1104463875,0.1380579844,0.7731247124,0,11.5495,2,1,1,0,0,0,0,1,0,0,0,,0,17.00566667,0,0,0,9,0,27.8272,0,1,22652,625.4578923,0.3463873385,0.2927743087,14,0.3865623562,0.1076923077,13,0.3589507593,5,5, , ,13373,239.2401289,12875,-0.1407942238,302,21,16,0,8.918545789,3101,3352,-251,4876,5241,-365,3285,3206,79,80,91,-11,135,154,-19
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,5,Blue,Support,Edward,Gambit Esports,Thresh,Varus,Olaf,Aatrox,Ashe,Sivir,36.21666667,0,0,7,5,9,19,0,0,0,0,0,0,0,9.33835,0,0.05522319374,0.7731247124,0,11.5495,2,1,0,0,0,0,0,0,0,0,0,,0,17.00566667,0,0,0,9,0,27.8272,0,1,5244,144.795214,0.08018961694,0.08665423188,61,1.684307409,0.4692307692,16,0.4417855499,16,16, , ,7273,70.80938794,7100,-0.137704918,26,0,0,0,0.7179015186,1999,2430,-431,2996,3317,-321,2323,2552,-229,2,12,-10,8,19,-11
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,6,Red,Top,PK,G-Rex,Urgot,Akali,Kai'sa,Xayah,Shen,Rakan,36.21666667,1,3,3,8,19,9,0,0,0,0,0,0,0,9.33835,0.08283479061,0.02761159687,0.7731247124,0,11.5495,1,2,0,0,0,0,0,0,0,0,1,,1,17.00566667,1,1,9,0,1,27.8272,1,0,18292,505.07133,0.2733290498,0.2113996463,21,0.5798435343,0.1794871795,6,0.1656695812,9,9, , ,13888,253.4601012,12925,0.3367231638,271,8,3,0,7.703635527,3253,3091,162,5023,4789,234,4912,4493,419,86,76,10,139,129,10
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,7,Red,Jungle,Empt2y,G-Rex,Skarner,Akali,Kai'sa,Xayah,Shen,Rakan,36.21666667,1,5,0,10,19,9,1,0,0,0,0,1,0,9.33835,0.1380579844,0.02761159687,0.7731247124,0,11.5495,1,2,1,1,0,0,0,1,0,0,1,,1,17.00566667,1,1,9,0,1,27.8272,1,0,6312,174.2843994,0.09431734979,0.1901433362,18,0.4970087437,0.1538461538,16,0.4417855499,15,16, , ,12965,227.9745973,11800,0.2081871345,29,125,90,14,4.252185918,3178,2962,216,4957,4421,536,3342,3198,144,57,54,3,90,87,3
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,8,Red,Middle,Candy,G-Rex,Syndra,Akali,Kai'sa,Xayah,Shen,Rakan,36.21666667,1,4,2,14,19,9,1,0,0,0,0,1,0,9.33835,0.1104463875,0.08283479061,0.7731247124,0,11.5495,1,2,0,0,0,0,0,0,0,0,1,,1,17.00566667,1,1,9,0,1,27.8272,1,0,18775,518.4077312,0.2805462995,0.2258622278,9,0.2485043718,0.07692307692,8,0.220892775,6,6, , ,14516,270.8001841,12500,-0.001998001998,280,25,25,0,8.421537046,3571,3076,495,5647,4802,845,5045,4412,633,95,75,20,153,126,27
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,9,Red,ADC,Stitch,G-Rex,Kalista,Akali,Kai'sa,Xayah,Shen,Rakan,36.21666667,1,5,2,8,19,9,0,0,0,0,0,0,0,9.33835,0.1380579844,0.1104463875,0.7731247124,0,11.5495,1,2,0,1,0,0,0,0,0,0,1,,1,17.00566667,1,1,9,0,1,27.8272,1,0,18047,498.3064887,0.2696681261,0.2701941855,14,0.3865623562,0.1196581197,11,0.3037275656,5,7, , ,16441,323.9525081,14825,0.1407942238,317,48,21,8,10.07823286,3352,3101,251,5241,4876,365,3206,3285,-79,91,80,11,154,135,19
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,10,Red,Support,Koala,G-Rex,Alistar,Akali,Kai'sa,Xayah,Shen,Rakan,36.21666667,1,2,2,11,19,9,0,0,0,0,1,0,0,9.33835,0.05522319374,0,0.7731247124,0,11.5495,1,2,0,0,0,0,0,0,0,0,1,,1,17.00566667,1,1,9,0,1,27.8272,1,0,5497,151.780948,0.08213917487,0.1024006043,55,1.518637828,0.4700854701,13,0.3589507593,18,18, , ,9155,122.7744133,8150,0.137704918,42,0,0,0,1.159687069,2430,1999,431,3317,2996,321,2552,2323,229,12,2,10,19,8,11
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,100,Blue,Team,Team,Gambit Esports, ,Varus,Olaf,Aatrox,Ashe,Sivir,36.21666667,0,9,19,19,9,19, , , , ,0,0,1,9.33835,0.2485043718,0.5246203405,0.7731247124,1,11.5495,2,1,2,1,1,0,0,1,0,0,0,16.46343333,0,17.00566667,0,0,0,9,0,27.8272,0,1,65395,1805.660377, , ,130,3.589507593,1,51,1.40819144,49,55,0.5344827586,0.3389830508,53137,817.1486424,51275,-0.1601255887,860,179,129,0,28.68844915,14229,15784,-1555,21884,24185,-2301,17711,19057,-1346,287,341,-54,485,555,-70
2002860107,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860107?gameHash=44f6a92f0ba8184b&tab=overview,WC,2018-W,43374.15831,PI,1,8.19,200,Red,Team,Team,G-Rex, ,Akali,Kai'sa,Xayah,Shen,Rakan,36.21666667,1,19,9,51,19,9, , , , ,1,1,0,9.33835,0.5246203405,0.2485043718,0.7731247124,0,11.5495,1,2,1,2,0,0,0,1,0,0,1,16.46343333,1,17.00566667,1,1,9,0,1,27.8272,1,0,66923,1847.850897, , ,117,3.230556834,1,54,1.491026231,53,56,0.5081967213,0.3333333333,66965,1198.961804,60200,0.1601255887,939,206,139,22,31.61527842,15784,14229,1555,24185,21884,2301,19057,17711,1346,341,287,54,555,485,70
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,1,Blue,Top,Evi,DetonatioN FocusMe,Ornn,Rakan,Pyke,Aatrox,LeBlanc,Zoe,29.75,1,0,1,14,17,10,0,0,0,0,0,0,0,5.25225,0,0,0.9075630252,0,12.59858333,1,2,0,0,0,0,0,0,0,0,0,,0,13.59553333,0,0,9,4,1,26.65648333,1,0,12823,431.0252101,0.2112625006,0.1784188034,15,0.5042016807,0.145631068,4,0.1344537815,6,6, , ,10597,224.5378151,9400,0.2085168869,215,6,2,0,7.428571429,2692,2727,-35,4419,4508,-89,3964,3772,192,63,61,2,114,110,4
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,2,Blue,Jungle,Steal,DetonatioN FocusMe,Kindred,Rakan,Pyke,Aatrox,LeBlanc,Zoe,29.75,1,5,2,7,17,10,0,0,0,0,0,1,0,5.25225,0.1680672269,0.06722689076,0.9075630252,1,12.59858333,1,2,1,1,0,0,0,1,0,0,0,,0,13.59553333,0,0,9,4,1,26.65648333,1,0,12087,406.2857143,0.1991366954,0.1981570513,14,0.4705882353,0.1359223301,22,0.7394957983,10,11, , ,11336,249.3781513,9550,0.1046831956,35,116,91,7,5.075630252,2627,3076,-449,4589,4751,-162,2634,2787,-153,38,52,-14,65,91,-26
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,3,Blue,Middle,Ceros,DetonatioN FocusMe,Karma,Rakan,Pyke,Aatrox,LeBlanc,Zoe,29.75,1,3,2,11,17,10,0,0,0,0,0,0,0,5.25225,0.1008403361,0.06722689076,0.9075630252,0,12.59858333,1,2,0,0,0,0,0,0,0,0,0,,0,13.59553333,0,0,9,4,1,26.65648333,1,0,11284,379.2941176,0.1859070465,0.2145032051,22,0.7394957983,0.213592233,5,0.1680672269,12,12, , ,11948,269.9495798,11110,0.1303930968,226,14,12,1,8.067226891,3075,3198,-123,4939,4830,109,4349,4425,-76,79,86,-7,133,134,-1
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,4,Blue,ADC,Yutapon,DetonatioN FocusMe,Varus,Rakan,Pyke,Aatrox,LeBlanc,Zoe,29.75,1,8,2,7,17,10,1,0,0,0,1,0,0,5.25225,0.268907563,0.1680672269,0.9075630252,0,12.59858333,1,2,0,1,0,0,0,0,0,0,0,,0,13.59553333,0,0,9,4,1,26.65648333,1,0,19711,662.5546218,0.3247442213,0.2987980769,7,0.2352941176,0.06796116505,9,0.3025210084,2,3, , ,15104,376.0336134,13075,0.02713178295,264,20,12,4,9.546218487,3666,3310,356,5624,5383,241,3285,3009,276,86,85,1,141,140,1
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,5,Blue,Support,viviD,DetonatioN FocusMe,Tahm Kench,Rakan,Pyke,Aatrox,LeBlanc,Zoe,29.75,1,1,3,8,17,10,0,0,0,0,0,1,0,5.25225,0.03361344538,0.03361344538,0.9075630252,0,12.59858333,1,2,0,0,0,0,0,0,0,0,0,,0,13.59553333,0,0,9,4,1,26.65648333,1,0,4792,161.0756303,0.07894953622,0.1101228632,45,1.512605042,0.4368932039,3,0.1008403361,14,15, , ,8040,138.5882353,7025,0.007142857143,53,0,0,0,1.781512605,2073,2237,-164,3580,3575,5,3053,2858,195,14,4,10,28,6,22
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,6,Red,Top,Zantins,KaBuM e-Sports,Sion,Camille,Urgot,Heimerdinger,Ziggs,Gnar,29.75,0,0,3,6,10,17,0,0,0,0,0,0,0,5.25225,0,0,0.9075630252,0,12.59858333,2,1,0,0,0,0,0,0,0,0,1,,1,13.59553333,1,1,4,9,0,26.65648333,0,1,8439,283.6638655,0.1587203069,0.1499652778,14,0.4705882353,0.152173913,2,0.06722689076,5,6, , ,8236,145.1764706,7625,-0.2085168869,181,0,0,0,6.084033613,2727,2692,35,4508,4419,89,3772,3964,-192,61,63,-2,110,114,-4
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,7,Red,Jungle,Ranger,KaBuM e-Sports,Taliyah,Camille,Urgot,Heimerdinger,Ziggs,Gnar,29.75,0,2,4,7,10,17,0,0,0,0,0,0,0,5.25225,0.06722689076,0.1680672269,0.9075630252,0,12.59858333,2,1,1,1,0,0,1,0,0,0,1,,1,13.59553333,1,1,4,9,0,26.65648333,0,1,11204,376.605042,0.2107242942,0.1905902778,7,0.2352941176,0.07608695652,7,0.2352941176,7,7, , ,9406,184.5042017,8600,-0.1046831956,18,143,80,19,5.411764706,3076,2627,449,4751,4589,162,2787,2634,153,52,38,14,91,65,26
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,8,Red,Middle,dyNquedo,KaBuM e-Sports,Syndra,Camille,Urgot,Heimerdinger,Ziggs,Gnar,29.75,0,2,4,4,10,17,0,0,0,0,0,0,0,5.25225,0.06722689076,0.1008403361,0.9075630252,0,12.59858333,2,1,0,0,0,0,0,0,0,0,1,,1,13.59553333,1,1,4,9,0,26.65648333,0,1,18202,611.8319328,0.3423423423,0.2263194444,18,0.6050420168,0.1956521739,5,0.1680672269,9,10, , ,10435,219.092437,9750,-0.1303930968,242,12,12,0,8.537815126,3198,3075,123,4830,4939,-109,4425,4349,76,86,79,7,134,133,1
2002860109,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860109?gameHash=cb21289f8e3dd5ad&tab=overview,WC,2018-W,43374.20391,PI,1,8.19,9,Red,ADC,TitaN,KaBuM e-Sports,Tristana,Camille,Urgot,Heimerdinger,Ziggs,Gnar,29.75,0,5,3,3,10,17,1,0,0,0,0,0,0,5.25225,0.1680672269,0.268907563,0.9075630252,0,12.59858333,2,1,1,0,1,0,0,0,0,0,1,,1,13.59553333,1,1,4,9,0,26.65648333,0,1,12240,411.4285714,0.2302093325,0.3173958333,17,0.5714285714,0.1847826087,11,0.3697478992,9,9, , ,13058,307.2605042,12725,-0.02713178295,290,12,8,0,10.1512605,3310,3666,-356,5383,5624,-241,3009,3285,-276,85,86,-1,140,141,-1
